BANDANA LEVEL
----------------------------------------
File created with Bandana level editor.
To play the level, put it into the 'userlevels'
subdirectory. To edit it, place this file into
the 'mylevels' directory.
Dimensions: 96,25

Author: micha
Description:

endDescription

Background:
-----------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------
--------------------------------ssss-sssss-----------------------------------------------------
--------------------------------ssssssssssss---------------------------------------------------
--------------------------------sssssssssssss--------------------------------------------------
--------------------------------sssssssssssss--------------------------------------------------
--------------------------------sssssssssssss--------------------------------------------------
--------------------------------sssssssssssss--------------------------------------------------
--------------------------------sssssssssssss--------------------------------------------------
-----------------------------------------------------------------------------------------------
endBackground

Ground:
-----------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------
ddddddd----------------------------------------------------------------------------------------
ggggggddggggdddddddd------------------------------------------c--------------------------------
gggggggggggggggggggddddd-----dgggg---ggg----------------------cwb------------------------------
gggggggggggggggggggggggddddddddddg---gggggggg-----------------cw-----------------ssssssssssssss
gggggggggggggggggggggggggggggggddg---ggggggg-----------------ccsdsssssss---------sssssddddddddd
gggggggggggggggggggggggggggggggddg---ggggg-------------------ccsssssssssdsssssssddddddddddddddd
gggggggggggggggggggggggggggggggggg---------------------------ccsdsssssssssssddddddddddddddddddd
gggggggggggggggggggggggggggggggggg----------ggggggggbbbbbbggdssdddsssssssssdddddddddddddddddddd
ggggggggggggggggggggggggggggggggggddddddddddggggggd---------dsssssssssssddddddddddddddddddddddd
gggggggggggggggggggggggggggggggggggggggggggggggggd-----------dssssssssssddddddddddddddddddddddd
gggggggggggggggggggggggggggggggggggggggggggggggggd------------ddssssssssddddddddddddddddddddddd
endGround

BgObjects:
	1_0x7 50 22
	1_0x7 51 22
	1_0x7 52 22
	1_0x7 53 22
	1_0x7 54 22
	1_0x7 55 22
	1_0x7 56 22
	1_0x7 57 22
	1_0x7 58 22
	1_0x7 59 22
	1_0x7 60 22
	1_0x8 50 23
	1_0x8 51 23
	1_0x8 52 23
	1_0x8 53 23
	1_0x8 54 23
	1_0x8 55 23
	1_0x8 56 23
	1_0x8 57 23
	1_0x8 58 23
	1_0x8 59 23
	1_0x8 60 23
	1_0x8 61 23
	1_6x22 6 12
	1_5x22 5 12
	1_6x21 6 11
	1_5x21 5 11
	1_4x21 4 11
	1_3x21 3 11
	1_7x20 7 10
	1_6x20 6 10
	1_5x20 5 10
	1_4x20 4 10
	1_3x20 3 10
	1_7x19 7 9
	1_6x19 6 9
	1_5x19 5 9
	1_4x19 4 9
	1_3x19 3 9
	1_2x26 15 13
	1_1x26 14 13
	1_2x25 15 12
	1_1x25 14 12
	1_0x25 13 12
	1_4x24 17 11
	1_3x24 16 11
	1_2x24 15 11
	1_1x24 14 11
	1_0x24 13 11
	1_3x23 16 10
	1_2x23 15 10
	1_1x23 14 10
	1_0x23 13 10
	1_2x26 30 14
	1_1x26 29 14
	1_2x25 30 13
	1_1x25 29 13
	1_0x25 28 13
	1_4x24 32 12
	1_3x24 31 12
	1_2x24 30 12
	1_1x24 29 12
	1_0x24 28 12
	1_3x23 31 11
	1_2x23 30 11
	1_1x23 29 11
	1_0x23 28 11
	1_3x33 23 14
	1_2x33 22 14
	1_2x32 22 13
	1_4x31 24 12
	1_3x31 23 12
	1_2x31 22 12
	1_1x31 21 12
	1_4x30 24 11
	1_3x30 23 11
	1_2x30 22 11
	1_1x30 21 11
	1_0x30 20 11
	1_4x29 24 10
	1_3x29 23 10
	1_2x29 22 10
	1_1x29 21 10
	1_0x29 20 10
	1_3x28 23 9
	1_2x28 22 9
	1_1x28 21 9
	1_3x33 49 19
	1_2x33 48 19
	1_2x32 48 18
	1_4x31 50 17
	1_3x31 49 17
	1_2x31 48 17
	1_1x31 47 17
	1_4x30 50 16
	1_3x30 49 16
	1_2x30 48 16
	1_1x30 47 16
	1_0x30 46 16
	1_4x29 50 15
	1_3x29 49 15
	1_2x29 48 15
	1_1x29 47 15
	1_0x29 46 15
	1_3x28 49 14
	1_2x28 48 14
	1_1x28 47 14
	1_4x11 87 15
	1_7x11 86 15
	1_2x13 85 15
	1_1x13 84 15
	1_6x11 83 15
	1_3x11 82 15
	1_4x10 87 14
	1_7x10 86 14
	1_2x12 85 14
	1_1x12 84 14
	1_6x10 83 14
	1_3x10 82 14
	1_2x10 81 14
	1_7x8 88 13
	1_6x8 87 13
	1_5x8 86 13
	1_7x5 85 13
	1_5x8 84 13
	1_7x6 83 13
	1_4x8 82 13
	1_3x8 81 13
	1_6x15 87 12
	1_5x15 86 12
	1_3x15 85 12
	1_2x15 84 12
	1_1x15 83 12
	1_0x15 82 12
	1_7x7 86 11
	1_6x7 85 11
	1_4x7 84 11
	1_3x7 83 11
	1_4x11 78 17
	1_7x11 77 17
	1_5x13 76 17
	1_4x13 75 17
	1_3x13 74 17
	1_7x13 73 17
	1_4x10 78 16
	1_7x10 77 16
	1_5x12 76 16
	1_4x12 75 16
	1_3x12 74 16
	1_7x12 73 16
	1_7x8 79 15
	1_6x8 78 15
	1_5x8 77 15
	1_7x6 76 15
	1_5x8 75 15
	1_4x8 74 15
	1_3x8 73 15
	1_7x7 77 14
	1_3x9 76 14
	1_3x7 75 14
	1_2x17 41 15
	1_1x18 42 15
	1_1x18 43 15
	1_7x18 44 15
	1_4x11 64 16
	1_4x10 64 15
	1_4x11 64 14
	1_4x10 64 13
	1_4x11 64 12
	1_4x10 64 11
	1_3x11 62 16
	1_3x10 62 15
	1_3x11 62 14
	1_3x10 62 13
	1_3x11 62 12
	1_3x10 62 11
	1_7x15 62 10
	1_7x15 64 10
	1_4x10 65 9
	1_4x10 65 10
	1_4x10 65 8
	1_3x10 61 9
	1_3x11 61 8
	1_3x10 61 10
	1_2x9 62 8
	1_2x9 64 8
	1_7x15 62 9
	1_7x15 63 9
	1_7x15 64 9
	1_7x8 66 7
	1_6x8 65 7
	1_5x8 64 7
	1_7x6 63 7
	1_5x8 62 7
	1_4x8 61 7
	1_3x8 60 7
	1_7x7 64 6
	1_3x9 63 6
	1_3x7 62 6
	1_7x15 63 11
	1_7x15 63 12
	1_7x15 63 13
	1_7x15 63 14
	1_7x15 63 8
	1_7x15 63 10
	1_2x14 63 12
	1_0x10 63 14
	1_0x9 63 13
endBgObjects

Objects:
Obj:Water
	x:50
	y:22
endObj
Obj:Water
	x:51
	y:22
endObj
Obj:Water
	x:52
	y:22
endObj
Obj:Water
	x:53
	y:22
endObj
Obj:Water
	x:54
	y:22
endObj
Obj:Water
	x:55
	y:22
endObj
Obj:Water
	x:56
	y:22
endObj
Obj:Water
	x:57
	y:22
endObj
Obj:Water
	x:58
	y:22
endObj
Obj:Water
	x:59
	y:22
endObj
Obj:Water
	x:60
	y:22
endObj
Obj:Water
	x:50
	y:23
endObj
Obj:Water
	x:51
	y:23
endObj
Obj:Water
	x:52
	y:23
endObj
Obj:Water
	x:53
	y:23
endObj
Obj:Water
	x:54
	y:23
endObj
Obj:Water
	x:55
	y:23
endObj
Obj:Water
	x:56
	y:23
endObj
Obj:Water
	x:57
	y:23
endObj
Obj:Water
	x:58
	y:23
endObj
Obj:Water
	x:59
	y:23
endObj
Obj:Water
	x:60
	y:23
endObj
Obj:Water
	x:61
	y:23
endObj
Obj:Exit
	x:91
	y:15
endObj
Obj:Player
	x:10
	y:13
	p:canHook=false
	p:canParachute=false
	p:canTeleport=false
	p:canWalljump=false
endObj
endObjects

